,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-27,11:00:00,BANKNIFTY02JUN1617500CE,171.0,2016-05-30,11:00:00,146.95,20.63000000000001,Expiry,4.0
1,2016-05-27,11:00:00,BANKNIFTY02JUN1617500PE,218.85,2016-05-30,11:00:00,129.75,84.723,Expiry,4.0
2,2016-05-30,11:00:00,BANKNIFTY02JUN1617600CE,106.5,2016-05-31,11:00:00,79.55,24.820000000000004,Expiry,3.0
3,2016-05-30,11:00:00,BANKNIFTY02JUN1617600PE,175.0,2016-05-31,11:00:00,185.0,-13.5,Expiry,3.0
4,2016-05-31,11:00:00,BANKNIFTY02JUN1617500CE,123.0,2016-06-01,11:00:00,125.0,-4.46,Expiry,2.0
5,2016-05-31,11:00:00,BANKNIFTY02JUN1617500PE,130.0,2016-06-01,11:00:00,63.35,64.05000000000001,Expiry,2.0
6,2016-06-01,11:00:00,BANKNIFTY02JUN1617600PE,111.75,2016-06-01,14:31:00,167.625,-58.11,SL,1.0
7,2016-06-01,11:00:00,BANKNIFTY02JUN1617600CE,74.95,2016-06-02,11:00:00,7.05,66.40100000000001,Expiry,1.0
8,2016-06-02,11:00:00,BANKNIFTY02JUN1617400PE,43.7,2016-06-02,15:30:00,0.1,42.726,Expiry,0.0
9,2016-06-02,11:00:00,BANKNIFTY02JUN1617400CE,67.0,2016-06-02,14:11:00,100.5,-34.84,SL,0.0
10,2016-06-06,11:00:00,BANKNIFTY09JUN1617700PE,179.8,2016-06-07,11:00:00,149.75,26.45400000000001,Expiry,3.0
11,2016-06-06,11:00:00,BANKNIFTY09JUN1617700CE,168.35,2016-06-07,11:00:00,150.9,14.082999999999988,Expiry,3.0
12,2016-06-07,11:00:00,BANKNIFTY09JUN1617700PE,149.75,2016-06-08,11:00:00,30.5,116.255,Expiry,2.0
13,2016-06-07,11:00:00,BANKNIFTY09JUN1617700CE,150.9,2016-06-07,12:46:00,226.35000000000002,-78.46800000000002,SL,2.0
14,2016-06-08,11:00:00,BANKNIFTY09JUN1617900CE,61.1,2016-06-08,11:59:00,91.65,-31.772000000000006,SL,1.0
15,2016-06-08,11:00:00,BANKNIFTY09JUN1617900PE,108.0,2016-06-09,11:00:00,57.05,48.790000000000006,Expiry,1.0
16,2016-06-09,11:00:00,BANKNIFTY09JUN1617900PE,57.05,2016-06-09,14:04:00,85.57499999999999,-29.66599999999999,SL,0.0
17,2016-06-09,11:00:00,BANKNIFTY09JUN1617900CE,50.8,2016-06-09,15:29:00,0.05,49.734,Expiry,0.0
18,2016-06-10,11:00:00,BANKNIFTY16JUN1617900CE,133.3,2016-06-10,11:11:00,199.95000000000002,-69.316,SL,4.0
19,2016-06-10,11:00:00,BANKNIFTY16JUN1617900PE,144.85,2016-06-10,13:28:00,217.27499999999998,-75.32199999999999,SL,4.0
20,2016-06-13,11:00:00,BANKNIFTY16JUN1617600CE,114.0,2016-06-14,11:00:00,110.7,1.019999999999997,Expiry,3.0
21,2016-06-13,11:00:00,BANKNIFTY16JUN1617600PE,169.3,2016-06-14,11:00:00,119.25,46.66400000000001,Expiry,3.0
22,2016-06-14,11:00:00,BANKNIFTY16JUN1617600CE,110.7,2016-06-15,11:00:00,113.95,-5.464,Expiry,2.0
23,2016-06-14,11:00:00,BANKNIFTY16JUN1617600PE,119.25,2016-06-15,11:00:00,72.0,44.865,Expiry,2.0
24,2016-06-15,11:00:00,BANKNIFTY16JUN1617700CE,67.0,2016-06-15,14:04:00,100.5,-34.84,SL,1.0
25,2016-06-15,11:00:00,BANKNIFTY16JUN1617700PE,120.1,2016-06-16,11:00:00,60.4,57.297999999999995,Expiry,1.0
26,2016-06-16,11:00:00,BANKNIFTY16JUN1617700CE,54.25,2016-06-16,15:27:00,0.05,53.115,Expiry,0.0
27,2016-06-16,11:00:00,BANKNIFTY16JUN1617700PE,60.4,2016-06-16,11:51:00,90.6,-31.407999999999994,SL,0.0
28,2016-06-17,11:00:00,BANKNIFTY23JUN1617800CE,150.85,2016-06-20,11:00:00,79.1,68.733,Expiry,4.0
29,2016-06-17,11:00:00,BANKNIFTY23JUN1617800PE,173.0,2016-06-17,14:44:00,259.5,-89.96,SL,4.0
30,2016-06-20,11:00:00,BANKNIFTY23JUN1617600CE,165.55,2016-06-20,14:23:00,248.32500000000002,-86.08600000000001,SL,3.0
31,2016-06-20,11:00:00,BANKNIFTY23JUN1617600PE,127.2,2016-06-21,11:00:00,95.0,29.656000000000002,Expiry,3.0
32,2016-06-21,11:00:00,BANKNIFTY23JUN1617700PE,142.0,2016-06-22,11:00:00,97.8,41.36,Expiry,2.0
